id,style,name,roles,kind,file,pixel_size,source_index,source_layer_id,source_opacity_pct,source_blend,symbol_units,resolution_class,baked_shadow,source_effects,use,rule,sha256,source_fill_opacity_pct,source_effects_master_enabled,source_composition
P-G01,rural,橄榄绿草地肌理,"[""grass""]",texture,assets/P-G01.png,"[512, 512]","[1, 6]",34,100.0,norm,,native_pixels,False,[],山地公园、乡村草坡、大面积地被,使用目标绿地蒙版；降低接缝与重复纹理；结合分区深浅。,5de8ff07d101f50caf0640eddb74c1500e4dbd35d2a06175be5cdf223d1ecdba,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 34, ""clipping_base_layer_id"": 32, ""clip_layer_ids"": [], ""parent_layer_ids"": [44]}"
P-G02,rural,柔化自然植被肌理,"[""grass""]",texture,assets/P-G02.png,"[512, 512]","[1, 4]",43,100.0,norm,,native_pixels,False,[],林下、坡面过渡、自然草地边缘,保持软边与细密颗粒；在目标范围内渐变叠加。,d18fc95098e5e102a594992f03c4613310fe47ab5cf05db592c163c7751b5b62,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 43, ""clipping_base_layer_id"": 35, ""clip_layer_ids"": [], ""parent_layer_ids"": [44]}"
P-W01,rural,自然水波纹理,"[""water""]",texture,assets/P-W01.png,"[512, 512]","[1, 1]",532,30.2,sLit,,native_pixels,False,[],河流、溪流、自然池塘,源图为柔光 30.2% 剪贴层；叠于蓝灰底色，不移植原河道轮廓。,da21359918b46e5024a77ee7f9d40cffd38394fe8caa8a9a268af6d015128f4c,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 532, ""clipping_base_layer_id"": 68, ""clip_layer_ids"": [], ""parent_layer_ids"": [44]}"
P-P01,rural,暖土褐地面,"[""paving""]",texture,assets/P-P01.png,"[512, 512]","[2, 3]",72,100.0,norm,,native_pixels,False,[],村巷、集散小广场、乡土铺地,用目标道路或广场闭合蒙版；保留粗糙度与暖灰棕色。,5ff348a02de5ca18629cec67f8d9d8ebf597007519b23872d0f16062d5d40254,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 72, ""clipping_base_layer_id"": 71, ""clip_layer_ids"": [], ""parent_layer_ids"": [49]}"
P-P02,rural,斑驳浅褐铺地,"[""paving""]",texture,assets/P-P02.png,"[512, 512]","[2, 1]",64,100.0,norm,,native_pixels,False,[],小节点、入口、乡村活动场,与草地建立材质差别；不要整片覆盖田野。,5d97b57bb419946a059ccc6d2b77ace1ca0627c6d730acccc69d6ada9b45b15c,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 64, ""clipping_base_layer_id"": 62, ""clip_layer_ids"": [], ""parent_layer_ids"": [49]}"
P-P03,rural,冷灰细颗粒铺地,"[""paving""]",texture,assets/P-P03.png,"[512, 512]","[2, 5]",74,70.2,norm,,native_pixels,False,[],步道、商业街、石质通道,从源图 70.2% 不透明度开始试铺，再统一图面灰度。,9b8d8f3d80e355fe7db9b12ccf0315442cf760b43766ef057e56ce999b9548d7,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 74, ""clipping_base_layer_id"": 73, ""clip_layer_ids"": [], ""parent_layer_ids"": [49]}"
P-P04,rural,中灰混凝土肌理,"[""paving""]",texture,assets/P-P04.png,"[512, 512]","[2, 11]",167,100.0,norm,,native_pixels,False,[],道路、服务设施外场,按主次路网分明度，所有纹理裁入目标道路边界。,b81e6c1ad4482aac1860787028bf035f3f26317270df55fdc0bbe8b620eec01a,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 167, ""clipping_base_layer_id"": 165, ""clip_layer_ids"": [], ""parent_layer_ids"": [49]}"
P-D01,rural,自然木纹,"[""wood""]",texture,assets/P-D01.png,"[256, 256]",[15],418,100.0,norm,,native_pixels,False,[],栈道、亲水平台、木质小节点,木纹顺行进方向；纹理尺度随图幅统一，不继承源栈道路径。,4fd02d4c3671cc4ed30668d5f8fe7693912ec97aac931f225d5a992abeddadf9,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 418, ""clipping_base_layer_id"": 416, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
P-D02,rural,浅金木板纹理,"[""wood""]",texture,assets/P-D02.png,"[512, 512]","[2, 9]",164,100.0,norm,,native_pixels,False,[],重点观景平台、小型廊架地面,作为局部暖色点缀；先调低饱和度适应乡村基调。,779f0ae3baf14a3940610e1381f13fb307fd30c595946dd3cb405e8839311cdb,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 164, ""clipping_base_layer_id"": 161, ""clip_layer_ids"": [], ""parent_layer_ids"": [49]}"
P-T01,rural,浅色乔木与烘焙树影,"[""tree""]",symbol,assets/P-T01.png,"[67, 77]","[16, 69]",287,83.1,norm,1,small_local_only,True,[],乡村村口、巷口、院落、远景点树,原素材仅 67×77 像素；只缩小使用。树影已烘焙，保持统一光向。,63d7d5667cf20bd5442f91d45360e65d8cf0512df85272b6dd281265ccf43c26,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 287, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": [47]}"
P-T02,rural,低饱和自然树冠 1,"[""tree""]",symbol,assets/P-T02.png,"[56, 45]","[16, 0]",87,100.0,norm,1,small_local_only,False,[],乡村林缘、疏林、坡地乔木,保留源素材低饱和色阶；先在目标底色上检查透明边缘与已有树影。,53d484f25034fec1c7073b555fe1ed992a81886c3a142a609da732bbed73a8b6,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 87, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": [47]}"
P-T03,rural,低饱和自然树冠 2,"[""tree""]",symbol,assets/P-T03.png,"[36, 40]","[16, 0]",87,100.0,norm,1,small_local_only,False,[],乡村林缘、疏林、坡地乔木,保留源素材低饱和色阶；先在目标底色上检查透明边缘与已有树影。,8971b4674137e237bca23155b81aee73b9113d085b7f639f01af15ea5d69facc,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 87, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": [47]}"
P-T04,rural,低饱和自然树冠 3,"[""tree""]",symbol,assets/P-T04.png,"[46, 38]","[16, 0]",87,100.0,norm,1,small_local_only,False,[],乡村林缘、疏林、坡地乔木,保留源素材低饱和色阶；先在目标底色上检查透明边缘与已有树影。,bb7cbe94a35a1de54f4a766bc727524e0bceba9112b7e6b2c508ef6623d332f0,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""rural"", ""layer_id"": 87, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": [47]}"
P-REF01,rural,山地植被与等高线层次,"[""reference""]",reference,examples/P-REF01.jpg,"[1550, 1190]",,,,,,reference,False,[],自然山体、坡地公园,借鉴草地、纹理、明暗和线条层次；地形线与坡向必须取自目标项目。,6d4d89e45bb1788aecfdd8f685cee5af14d84c2167f54cb63d68e6ae6400193b,,,
P-REF02,rural,村落与乡土铺装组合,"[""reference""]",reference,examples/P-REF02.jpg,"[1240, 1150]",,,,,,reference,False,[],村落更新、乡村街巷,借鉴深色屋面、暖色地面、浅色点树与投影关系；建筑位置由目标 CAD 决定。,3ba6faef0845b3a6dd0570fdc033a223d8a0278cf7157ad4343ad11bbfd269af,,,
P-REF03,rural,自然河道与木栈道,"[""reference""]",reference,examples/P-REF03.jpg,"[749, 1200]",,,,,,reference,False,[],河岸公园、滨水步道,借鉴水波、岸线、栈道材质；只在目标方案已有的滨水空间使用。,6967250141e0df940ff5dd9aedf691ccdb20e668c72cedc89a77cea0a8c4aabc,,,
P-REF04,rural,边缘淡化与图面装饰,"[""reference""]",reference,examples/P-REF04.jpg,"[920, 710]",,,,,,reference,False,[],汇报展板边缘,云雾、印章、鸟群属于可选展示效果，不计入场地实体丰富度。,83306758b36a866e84bdac0eea49da196ebbdb433ec9b39c7bdfa8f84c14bd12,,,
R-G01,residential,住宅草坪肌理,"[""grass""]",texture,assets/R-G01.png,"[256, 256]",[18],132,100.0,mul ,,native_pixels,False,"[{""type"": ""InnerShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 86.0, ""angle"": -137, ""distance"": 3.0, ""size"": 5.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",楼间草地、宅旁绿地、中央草坪,仅使用净纹理取样；目标空间以目标 CAD 蒙版重建。,cd250ad4c1fc392130be4236fc8135f0705a8c583fca52bd545b98edb0c7f5ee,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 132, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
